sample_id,representation,bertscore_precision,bertscore_recall,bertscore_f1
5539b2a9461367b278b5d9a2ee41aa7a752d8a9b8bb1f858ed0b8a4fc5ed921b,Source,0.8464520560000001,0.8923408,0.868778708
9ceca417976a5e89121b8e3a1de8856656d767d0254e2857913a1de96eb41873,Binary,0.826576434,0.8309292039999999,0.828727744
9ceca417976a5e89121b8e3a1de8856656d767d0254e2857913a1de96eb41873,Assembly,0.832866478,0.84218831,0.8374403319999999
9ceca417976a5e89121b8e3a1de8856656d767d0254e2857913a1de96eb41873,Source,0.854946722,0.872786592,0.8637635360000001
d1bcf1826ec72119a863d106b6ecc71a728435056fceb6292d4433231833ae7b,Binary,0.8351855800000001,0.8546218360000001,0.8447250040000001
d1bcf1826ec72119a863d106b6ecc71a728435056fceb6292d4433231833ae7b,Assembly,0.8634018720000001,0.90213123,0.8823262919999999
d1bcf1826ec72119a863d106b6ecc71a728435056fceb6292d4433231833ae7b,Source,0.8741033760000001,0.916176422,0.894601698
33dbd994eab2bf1be6b33eeaff27f6bb41dd82fde7c7dcf08005c0f21bf540ca,Binary,0.873662388,0.8696461880000002,0.8716236119999999
33dbd994eab2bf1be6b33eeaff27f6bb41dd82fde7c7dcf08005c0f21bf540ca,Assembly,0.8764480559999999,0.8890333939999999,0.8826656419999999
33dbd994eab2bf1be6b33eeaff27f6bb41dd82fde7c7dcf08005c0f21bf540ca,Source,0.8747184459999999,0.887828912,0.8812217520000001
db81f14ad6a6ee1762861868ddd5b87214ffe1872699d06714f485c7218e16d1,Binary,0.876829116,0.877656666,0.87708653
db81f14ad6a6ee1762861868ddd5b87214ffe1872699d06714f485c7218e16d1,Assembly,0.862979784,0.89245036,0.877281604
db81f14ad6a6ee1762861868ddd5b87214ffe1872699d06714f485c7218e16d1,Source,0.85058869,0.883252032,0.866576566
7711adfcdfa3afb6d589d9f51b87c3d8ce2ade1d822c8cfc1d2d0e991f86909f,Binary,0.8376828740000001,0.8405684860000001,0.839110532
7711adfcdfa3afb6d589d9f51b87c3d8ce2ade1d822c8cfc1d2d0e991f86909f,Assembly,0.843447784,0.8542102699999999,0.848777786
7711adfcdfa3afb6d589d9f51b87c3d8ce2ade1d822c8cfc1d2d0e991f86909f,Source,0.8526066480000001,0.878268216,0.8651634900000001
7c7342e751d5cc7d4165d0f9c11f17ce85edd053905ccd1c07a49ec68266a460,Binary,0.8615672679999999,0.884093572,0.8726376800000001
7c7342e751d5cc7d4165d0f9c11f17ce85edd053905ccd1c07a49ec68266a460,Assembly,0.847894088,0.8925150800000001,0.869612526
7c7342e751d5cc7d4165d0f9c11f17ce85edd053905ccd1c07a49ec68266a460,Source,0.8685405700000001,0.917906906,0.8925195519999999
7e1dc9df577a4e7eb04759c3e872af3974a5daa59b3160ca067d2452ffe9a3ae,Binary,0.863260568,0.872809028,0.8679976359999999
7e1dc9df577a4e7eb04759c3e872af3974a5daa59b3160ca067d2452ffe9a3ae,Assembly,0.8668587139999999,0.887956314,0.8772463460000001
7e1dc9df577a4e7eb04759c3e872af3974a5daa59b3160ca067d2452ffe9a3ae,Source,0.888186488,0.8983261459999999,0.893182636
a5dc1c46fb2ae5bc02945636b5cea7164dfe1a9deb4560a1373e3576094c72f3,Binary,0.8760528879999999,0.91023527,0.8926068920000001
a5dc1c46fb2ae5bc02945636b5cea7164dfe1a9deb4560a1373e3576094c72f3,Assembly,0.890721826,0.917015606,0.903632386
a5dc1c46fb2ae5bc02945636b5cea7164dfe1a9deb4560a1373e3576094c72f3,Source,0.872860696,0.9055260159999999,0.8888858159999999
c79960bea2b10342926bf39e9430387219695cdf35c0d15c1c4b3186aa0ccb75,Binary,0.847205374,0.846799532,0.846993082
c79960bea2b10342926bf39e9430387219695cdf35c0d15c1c4b3186aa0ccb75,Assembly,0.8605782919999999,0.863053832,0.86180699
c79960bea2b10342926bf39e9430387219695cdf35c0d15c1c4b3186aa0ccb75,Source,0.8665881240000001,0.8724481000000001,0.86950164
e9e7c83a09dede25b789dbac4b45141f2515a29e51c6a36f74f1ed973b393035,Binary,0.84378806,0.8665060499999999,0.8549843960000001
e9e7c83a09dede25b789dbac4b45141f2515a29e51c6a36f74f1ed973b393035,Assembly,0.82528422,0.867719114,0.845559648
e9e7c83a09dede25b789dbac4b45141f2515a29e51c6a36f74f1ed973b393035,Source,0.854653624,0.902914902,0.87799771
5fc7b99e16d8dea4af3f4c3423acc5e0f422e714e7b5ea0733d3c20a6d8ff901,Binary,0.842935086,0.844970876,0.843944018
5fc7b99e16d8dea4af3f4c3423acc5e0f422e714e7b5ea0733d3c20a6d8ff901,Assembly,0.847078618,0.8636785180000001,0.8552704999999999
5fc7b99e16d8dea4af3f4c3423acc5e0f422e714e7b5ea0733d3c20a6d8ff901,Source,0.8637857500000001,0.872568684,0.8681388099999999
98fa188b83b59a2022b5bce5e501a131323b47676ee840d5460e1638768270d3,Binary,0.835235522,0.863056362,0.848873306
98fa188b83b59a2022b5bce5e501a131323b47676ee840d5460e1638768270d3,Assembly,0.8770247400000001,0.8944315679999999,0.885632032
98fa188b83b59a2022b5bce5e501a131323b47676ee840d5460e1638768270d3,Source,0.858903124,0.8910505820000001,0.874662472
6976c8db6bc1c2e960ecefdb505ac04c43b8f5f3d29073515b5aae33472e785f,Binary,0.845656984,0.83388405,0.839726138
6976c8db6bc1c2e960ecefdb505ac04c43b8f5f3d29073515b5aae33472e785f,Assembly,0.8693594000000001,0.8900705139999999,0.879551166
6976c8db6bc1c2e960ecefdb505ac04c43b8f5f3d29073515b5aae33472e785f,Source,0.907395702,0.935100108,0.9210233840000001
e75a32a311b139742170b62e69c1a32d22f93d36a802b5a70dc04dc7b5532f8f,Binary,0.8584897619999999,0.858792828,0.858632278
e75a32a311b139742170b62e69c1a32d22f93d36a802b5a70dc04dc7b5532f8f,Assembly,0.8768011359999999,0.8734667760000001,0.8751173839999999
e75a32a311b139742170b62e69c1a32d22f93d36a802b5a70dc04dc7b5532f8f,Source,0.90670021,0.9223635720000001,0.9144486300000001
85f290cf7e9cce459ae991f37c90a91c687af07380836c4885a482b4640e1670,Binary,0.8229211339999999,0.847079712,0.834815728
85f290cf7e9cce459ae991f37c90a91c687af07380836c4885a482b4640e1670,Assembly,0.8041763920000001,0.872355032,0.8361975859999999
85f290cf7e9cce459ae991f37c90a91c687af07380836c4885a482b4640e1670,Source,0.8364570920000001,0.878682818,0.857039396
e0856b58ccea0d0d9b4ecf71f0ea04968fbebe65eccf34a193f21c3421a5dd86,Binary,0.8346741599999999,0.856008656,0.845193414
e0856b58ccea0d0d9b4ecf71f0ea04968fbebe65eccf34a193f21c3421a5dd86,Assembly,0.8265755,0.8601639179999999,0.843001864
e0856b58ccea0d0d9b4ecf71f0ea04968fbebe65eccf34a193f21c3421a5dd86,Source,0.8536548319999999,0.887452526,0.870222506
b3e5ca408b5ccb3d5be5be4f75c38fe3548e849e2f7e7bb23815391b75544e95,Binary,0.845018806,0.8816283540000001,0.8628554019999999
b3e5ca408b5ccb3d5be5be4f75c38fe3548e849e2f7e7bb23815391b75544e95,Assembly,0.8569653620000001,0.901806524,0.878742478
b3e5ca408b5ccb3d5be5be4f75c38fe3548e849e2f7e7bb23815391b75544e95,Source,0.8586057739999999,0.8927952659999999,0.87536098
dd6e1c77326e651e231094233e7cfd882fdd78e2ab7614a721b673da72629d80,Binary,0.866351216,0.8814567240000001,0.8737894660000001
dd6e1c77326e651e231094233e7cfd882fdd78e2ab7614a721b673da72629d80,Assembly,0.8532355340000001,0.8853151020000001,0.868955218
dd6e1c77326e651e231094233e7cfd882fdd78e2ab7614a721b673da72629d80,Source,0.858940288,0.9071834360000001,0.882391608
4c57e45337a6a3602c1df297fabff6d9bb6a6a2d70998ecd1f04c5fc22f1b98d,Binary,0.8499112719999999,0.8616971679999998,0.8557550660000001
4c57e45337a6a3602c1df297fabff6d9bb6a6a2d70998ecd1f04c5fc22f1b98d,Assembly,0.8518297,0.878567634,0.864976006
4c57e45337a6a3602c1df297fabff6d9bb6a6a2d70998ecd1f04c5fc22f1b98d,Source,0.8782767,0.9022276980000001,0.8900579540000001
cec2558f8fc68854951713b3527f72969d5fa28f5216ce00361d4e3fb2697eee,Binary,0.8360755660000001,0.84970222,0.8427545320000001
cec2558f8fc68854951713b3527f72969d5fa28f5216ce00361d4e3fb2697eee,Assembly,0.842451234,0.8677823760000001,0.854844136
cec2558f8fc68854951713b3527f72969d5fa28f5216ce00361d4e3fb2697eee,Source,0.835111412,0.873232254,0.853735768
f5f5badebe6f1ca5ee71a19a9c439708198e25521c9f93ae402e9aacd2b0ead4,Binary,0.823096724,0.8498610799999999,0.8362632
f5f5badebe6f1ca5ee71a19a9c439708198e25521c9f93ae402e9aacd2b0ead4,Assembly,0.842779138,0.8782974080000001,0.8601569680000001
f5f5badebe6f1ca5ee71a19a9c439708198e25521c9f93ae402e9aacd2b0ead4,Source,0.845167112,0.9148282240000001,0.87861012
5e6afd9d840a03379408a89df025dbfcd9ca55cabc3cc65186ac8615aba99e90,Binary,0.828770682,0.846915624,0.837742014
5e6afd9d840a03379408a89df025dbfcd9ca55cabc3cc65186ac8615aba99e90,Assembly,0.8307022099999999,0.8775111499999999,0.8533600379999999
5e6afd9d840a03379408a89df025dbfcd9ca55cabc3cc65186ac8615aba99e90,Source,0.854182912,0.89289922,0.8731037799999999
36ffd16f00ef170630810ef13bcb113fdbb88aa577515003f7276962726c1cd4,Binary,0.811072334,0.8466052599999999,0.8284490119999999
36ffd16f00ef170630810ef13bcb113fdbb88aa577515003f7276962726c1cd4,Assembly,0.8128582099999999,0.870611012,0.8406744420000001
36ffd16f00ef170630810ef13bcb113fdbb88aa577515003f7276962726c1cd4,Source,0.864959522,0.946919654,0.904078146
647cba8f0e920f015d824a57e598fd8d1d3dc57608feb8292296d7d00c1cae1e,Binary,0.875618838,0.894616186,0.884998792
647cba8f0e920f015d824a57e598fd8d1d3dc57608feb8292296d7d00c1cae1e,Assembly,0.876737638,0.8960181800000001,0.88625685
647cba8f0e920f015d824a57e598fd8d1d3dc57608feb8292296d7d00c1cae1e,Source,0.873301426,0.903199116,0.8879890939999999
de321f553741bbc52c60d40e137a1eca2aecc3fba574515dc324d68e42b40edb,Binary,0.855984772,0.87929926,0.867416068
de321f553741bbc52c60d40e137a1eca2aecc3fba574515dc324d68e42b40edb,Assembly,0.868585156,0.8909643,0.8796211279999999
de321f553741bbc52c60d40e137a1eca2aecc3fba574515dc324d68e42b40edb,Source,0.881494262,0.9074728860000001,0.894262256
e272a8cd4be33e040e78cbe685eeb9a5ac970d392918991d269183d3c114182e,Binary,0.8434155320000001,0.85831728,0.850789146
e272a8cd4be33e040e78cbe685eeb9a5ac970d392918991d269183d3c114182e,Assembly,0.8658962060000001,0.8893756939999999,0.877454066
e272a8cd4be33e040e78cbe685eeb9a5ac970d392918991d269183d3c114182e,Source,0.8617451660000001,0.9018054620000001,0.8813063480000001
76146aba4803376c4aa86d6fa50392619700cef401b92797681ec5cdd20736aa,Binary,0.846859676,0.8486162800000001,0.847707038
76146aba4803376c4aa86d6fa50392619700cef401b92797681ec5cdd20736aa,Assembly,0.8449380919999999,0.8551157399999999,0.8499617020000001
76146aba4803376c4aa86d6fa50392619700cef401b92797681ec5cdd20736aa,Source,0.8402385800000001,0.85118696,0.845669888
6a49c3ef357d30e0f9635fcebce8ed6009b2cf50c3179e30221948704fbfd073,Binary,0.8494257900000001,0.8478263119999999,0.8486084999999999
6a49c3ef357d30e0f9635fcebce8ed6009b2cf50c3179e30221948704fbfd073,Assembly,0.839336928,0.8798853899999999,0.859106824
6a49c3ef357d30e0f9635fcebce8ed6009b2cf50c3179e30221948704fbfd073,Source,0.875960686,0.88476497,0.880204974
92474ff9b4fde206536b7003023642af57891da7b27a6aafcd6fdedf73fd06ef,Binary,0.8337762919999999,0.83670864,0.8352153360000001
92474ff9b4fde206536b7003023642af57891da7b27a6aafcd6fdedf73fd06ef,Assembly,0.856748256,0.853690032,0.8551867
92474ff9b4fde206536b7003023642af57891da7b27a6aafcd6fdedf73fd06ef,Source,0.844058002,0.8553581319999999,0.849644574
a53c1b723959f0fd7307325204196acc5f014cc5529708d943c722753da53fee,Binary,0.863260964,0.8641930139999999,0.863696498
a53c1b723959f0fd7307325204196acc5f014cc5529708d943c722753da53fee,Assembly,0.88435753,0.896930708,0.89059641
a53c1b723959f0fd7307325204196acc5f014cc5529708d943c722753da53fee,Source,0.918793228,0.9405833299999999,0.929481058
