sample_id,rep_a,rep_b,pair,sentence_transformer_cosine,rouge_l_f1
e272a8cd4be33e040e78cbe685eeb9a5ac970d392918991d269183d3c114182e,binary,assembly,Binary–Assembly,0.5332877218723298,0.29268781740157035
e272a8cd4be33e040e78cbe685eeb9a5ac970d392918991d269183d3c114182e,binary,source,Binary–Source,0.40559524297714233,0.18807469972611404
e272a8cd4be33e040e78cbe685eeb9a5ac970d392918991d269183d3c114182e,assembly,source,Assembly–Source,0.6095227658748626,0.28093927167436716
76146aba4803376c4aa86d6fa50392619700cef401b92797681ec5cdd20736aa,binary,assembly,Binary–Assembly,0.5663366675376892,0.25547076650140615
76146aba4803376c4aa86d6fa50392619700cef401b92797681ec5cdd20736aa,binary,source,Binary–Source,0.45962236225605013,0.19432880949083692
76146aba4803376c4aa86d6fa50392619700cef401b92797681ec5cdd20736aa,assembly,source,Assembly–Source,0.5565065085887909,0.2565508222029961
6a49c3ef357d30e0f9635fcebce8ed6009b2cf50c3179e30221948704fbfd073,binary,assembly,Binary–Assembly,0.4260107398033142,0.18572610296394848
6a49c3ef357d30e0f9635fcebce8ed6009b2cf50c3179e30221948704fbfd073,binary,source,Binary–Source,0.32550390958786013,0.16547362242277494
6a49c3ef357d30e0f9635fcebce8ed6009b2cf50c3179e30221948704fbfd073,assembly,source,Assembly–Source,0.5556511759757996,0.2749503245119082
92474ff9b4fde206536b7003023642af57891da7b27a6aafcd6fdedf73fd06ef,binary,assembly,Binary–Assembly,0.3133957177400589,0.23084616005814426
92474ff9b4fde206536b7003023642af57891da7b27a6aafcd6fdedf73fd06ef,binary,source,Binary–Source,0.3156216502189636,0.1591373217460174
92474ff9b4fde206536b7003023642af57891da7b27a6aafcd6fdedf73fd06ef,assembly,source,Assembly–Source,0.672770094871521,0.2888769580766314
a53c1b723959f0fd7307325204196acc5f014cc5529708d943c722753da53fee,binary,assembly,Binary–Assembly,0.2908869594335556,0.17592292420461436
a53c1b723959f0fd7307325204196acc5f014cc5529708d943c722753da53fee,binary,source,Binary–Source,0.23932337164878845,0.17318813830441737
a53c1b723959f0fd7307325204196acc5f014cc5529708d943c722753da53fee,assembly,source,Assembly–Source,0.7639522194862366,0.4166192226673826
0c9ea25b7a945c4a92a74dfec8e88f4ca06f842f1d9df4369ca2862067f5f7ca,binary,assembly,Binary–Assembly,0.63697589635849,0.2973321088181568
0c9ea25b7a945c4a92a74dfec8e88f4ca06f842f1d9df4369ca2862067f5f7ca,binary,source,Binary–Source,0.3993175566196442,0.12986944139469042
0c9ea25b7a945c4a92a74dfec8e88f4ca06f842f1d9df4369ca2862067f5f7ca,assembly,source,Assembly–Source,0.5124693989753724,0.15446085599538284
a5696fcdfe59144ea82090504d5060e7d8e5d67700d0870fcd476931526185d3,binary,assembly,Binary–Assembly,0.4668517827987671,0.16302521008403362
a5696fcdfe59144ea82090504d5060e7d8e5d67700d0870fcd476931526185d3,binary,source,Binary–Source,0.18572192788124084,0.2023423812609499
a5696fcdfe59144ea82090504d5060e7d8e5d67700d0870fcd476931526185d3,assembly,source,Assembly–Source,0.17297910153865814,0.29959189551866894
f67c6f90dcd03cc096db4c160992523a5bc9b657f66e2b08dd1b0e4cc4323a81,binary,assembly,Binary–Assembly,0.503434807062149,0.28171897712613364
f67c6f90dcd03cc096db4c160992523a5bc9b657f66e2b08dd1b0e4cc4323a81,binary,source,Binary–Source,0.32395605444908143,0.17131166005039283
f67c6f90dcd03cc096db4c160992523a5bc9b657f66e2b08dd1b0e4cc4323a81,assembly,source,Assembly–Source,0.36824457347393036,0.20831899691587025
7e2c533aa7bdf4a247e1068a9f900862d706f93fcebe0a7843f76b63a57b89a3,binary,assembly,Binary–Assembly,0.26895602643489835,0.15228417269668057
7e2c533aa7bdf4a247e1068a9f900862d706f93fcebe0a7843f76b63a57b89a3,binary,source,Binary–Source,0.183712999522686,0.16254449136520838
